SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,October-5-2021,Condo/Co-op,4975 Sandyland Rd,Carpinteria,CA,93013,2135000,2,1.0,CPTA - Carpinteria,683,868,1964,,3126,752,Sold,,,https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/home/143304649,CRMLS,BB21180651,N,Y,34.3940477,-119.5254722
PAST SALE,September-2-2021,Condo/Co-op,4755 Sandyland Rd #7,Carpinteria,CA,93013,1150000,2,1.0,CARPINTERIA-SUMMERLAND,875,,1959,,1314,,Sold,,,https://www.redfin.com/CA/Carpinteria/4755-Sandyland-Rd-93013/unit-7/home/21614166,SBMLS,21-3311,N,Y,34.395335,-119.527998
PAST SALE,,Condo/Co-op,4975 Sandyland Rd #107,Carpinteria,CA,93013,2135000,2,1.0,,683,,1964,,3126,,,,,https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-107/home/21613653,,,N,Y,34.393902,-119.525147
PAST SALE,March-19-2021,Single Family Residential,821 Sand Point Rd,Carpinteria,CA,93013,23000000,2,1.5,CARPINTERIA-SUMMERLAND,3500,4598,2004,,6571,,Sold,,,https://www.redfin.com/CA/Carpinteria/821-Sand-Point-Rd-93013/home/21611957,SBMLS,21-1008,N,Y,34.4040192,-119.5450254
PAST SALE,,Condo/Co-op,4950 Sandyland Rd #226,Carpinteria,CA,93013,600000,1,1.0,,514,,1964,,1167,,,,,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-226/home/21613803,,,N,Y,34.394428,-119.525032
PAST SALE,,Single Family Residential,551 Sand Point Rd,Carpinteria,CA,93013,9650000,3,4.0,,2395,62291,2003,,4029,,,,,https://www.redfin.com/CA/Carpinteria/551-Sand-Point-Rd-93013/home/21612918,,,N,Y,34.3986396,-119.5391096
PAST SALE,September-12-2023,Condo/Co-op,4975 Sandyland Rd #105,Carpinteria,CA,93013,2550000,2,1.0,Carpinteria,683,,1964,,3734,,Sold,,,https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-105/home/21615615,SBMLS,23-2719,N,Y,34.393902,-119.525147
PAST SALE,August-20-2021,Condo/Co-op,4950 Sandyland #120,Carpinteria,CA,93013,860000,2,2.0,CARPINTERIA-SUMMERLAND,744,,1962,,1156,,Sold,,,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-120/home/21615638,SBMLS,21-3149,N,Y,34.394428,-119.525032
PAST SALE,May-15-2024,Condo/Co-op,4925 Sandyland Rd #F,Carpinteria,CA,93013,4600000,2,3.0,Sandyland Cove,1538,,1987,,2991,,Sold,,,https://www.redfin.com/CA/Carpinteria/4925-Sandyland-Rd-93013/unit-F/home/21613633,SBMLS,24-1344,N,Y,34.3941663,-119.525621
